Organ,Name,Task,Modality,Dataset size,Strengths,Features,Date,Size,License,Platform,Link
Coronary Arteries,,,,,,,,,,,
,ImageCAS,Coronary Artery segmentation,CT,1000 cardiac CCTA,Largest 3D coronary artery CCTA dataset; Public benchmark with implemented methods; Provides strong baseline model,"ECG-gated, Size: 512×512 , 0.25-0.45mm spacing, 128-slice dual-source scanner, adult patients",2023,89.1 GB,Apache 2.0,Kaggle,https://www.kaggle.com/datasets/xiaoweixumedicalai/imagecas
,ImageALCAPA,Segmentation of ALCAPA anatomy ,CT,30 cardiac CCTA,First public 3D CTA dataset for ALCAPA segmentation; Designed to support 3D printing for surgical planning in a rare congenital condition.,"Structures: Myocardium (Myo), Left Ventricle (LV), Right Ventricle (RV), Pulmonary Artery (PA), Aorta (Ao), Left Coronary Artery (LCA), Right Coronary Artery (RCA). 265-slice scanner",2022,2.6 GB,Apache 2.0,Kaggle,https://www.kaggle.com/datasets/xiaoweixumedicalai/imagealcapa
,COCA,Coronary Artery Calcium (CAC) scoring & segmentation,CT,425 CAC CT + 199 chest CT,Two complementary datasets (gated + non-gated); Includes both DICOM images and CAC segmentations + scores,Gated dataset: DICOM images + coronary artery calcium segmentations (XML) + CAC scores; Non-gated dataset: DICOM images + CAC scores only,2021,28 GB,Stanford University Dataset Research Use Agreement,Stanford AIMI,https://stanfordaimi.azurewebsites.net/datasets/e8ca74dc-8dd4-4340-815a-60b41f6cb2aa
,3D CAS Images,Coronary Artery Segmentation,CT,200 3D CT scans,Voxel-level artery segmentation labels,NIfTI (.nii) format; Each case: CT volume (.img.nii) + ground-truth segmentation mask (.label.nii); 200 3D volumetric cases; Voxel-level artery annotations,2025,135 GB,Apache 2.0,Kaggle,https://www.kaggle.com/datasets/ahanafabidsazid/3d-cat-images
,MultiD4CAD,CAD diagnosis & EAT/PAT segmentation (multimodal),CT,118 CCTA scans,First multimodal dataset combining CCTA imaging (EAT & PAT segmentations) with clinical risk factors for CAD prediction; Validated annotations by experienced radiologists,"128-slice; ECG-gated acquisition; Slice thickness: 0.7mm, interval 0.4mm; Reconstruction: 10-20 phases (5-10% RR increments); Restricted FOV centered on heart; Segmentations: EAT & PAT (around IVA)",2025,4.0 TB,DUA (Data Use Agreement),Zenodo,https://zenodo.org/records/15148653
,,,,,,,,,,,
Aorta,,,,,,,,,,,
,ImageTBAD,Type B Aortic Dissection Segmentation,CT,100 aortic CTA,First 3D CTA dataset for TBAD with FLT annotation; Baseline method (3D U-net) provided,"3 segmentation labels: True Lumen (TL), False Lumen (FL), False Lumen Thrombus (FLT); Multi-scanner ; Large variance in voxel size & resolution; Dual-radiologist annotation",2021,13.4 GB,Apache 2.0,Kaggle,https://www.kaggle.com/datasets/xiaoweixumedicalai/imagetbad
,AVT (Aortic Vessel Tree),Aortic vessel tree segmentation,CT,56 CTA scans,"Multicenter dataset (3 sources: KiTS, RIDER, Dongyang Hospital); Covers full aortic tree from arch to iliac arteries; Includes pathological cases (AD, AAA)","Ascending aorta, aortic arch + branches (brachiocephalic, left common carotid, left subclavian), thoracic aorta, abdominal aorta, iliac arteries",2022,5.8 GB,CC BY 4.0,Figshare,doi.org/10.6084/m9.figshare.14806362
,AortaSeg-60,Aortic segmentation (automated TotalSegmentator labels),CT,60 CTA & non-contrast CT scans,"Diverse pathology coverage (aneurysm, dissection, normal, elderly, young, venous); Fully automated segmentations via TotalSegmentator-AI; Most permissive license (CC0)","6 subsets: Anev (aneurysm), Dissec (dissection), Nat (normal), Old, Young, Ven (venous); CTA + non-contrast CT",2026,15.9 GB,CC-0 1.0,Zenodo,https://doi.org/10.5281/zenodo.18147026
,ImageTAAD,Type A Aortic Dissection Segmentation,CT,120 aortic CTA,"First comprehensive TAAD segmentation dataset with 35 annotated categories; Includes clinically-oriented evaluation metrics (LOT, BVI, FLAR, TLC)","35 foreground categories including organs, true lumen, branch arteries, false lumen, tears; Size: 512×512; 256-slice scanners;",2025,26.9 GB,Apache 2.0,Kaggle,https://www.kaggle.com/datasets/xiaoweixumedicalai/imagetaad
,,,,,,,,,,,
Heart,,,,,,,,,,,
,HVSMR‑2.0,Whole-heart & Great Vessel Segmentation,MRI,60 3D MRI scans,Focus on Congenital Heart Disease (CHD); high anatomical variability,"8 labels (LV, RV, LA, RA, AO, PA, SVC, IVC); includes ""optional zones"" for fair vessel evaluation",2024,1.6 GB,CC-BY 4.0,Figshare,https://figshare.com/collections/HVSMR-2_0_A_3D_cardiovascular_MR_dataset_for_whole-heart_segmentation_in_congenital_heart_disease/7074755/2
,ACDC,"Cardiac Structure Segmentation (LV, RV, MYO)",MRI,150 patients (volumes/slices),Includes scribble annotations for weakly supervised learning,"Delineates LV, RV, and Myocardium; includes pathological cases",2018,0.3 GB,MIT,Kaggle,https://www.kaggle.com/datasets/anhoangvo/acdc-dataset
,CAMUS,"Multi-structure Segmentation (LV, Myo, LA)",US,"500 patients (2,000 images)",High clinical realism; Multi-structure annotations,"4CH & 2CH views; EF labels; includes ""poor quality"" clinical cases",2019,3.6 GB,CC BY-NC-SA 4.0,Human Heart Project,https://humanheart-project.creatis.insa-lyon.fr/database/#collection/6373703d73e9f0047faa1bc8
,EchoNet‑Dynamic,EF estimation & LV Segmentation,US,"10,030 apical-4-chamber videos",Largest labeled medical video dataset; Expert annotations,"112x112 resolution; Includes EF, ESV, EDV + expert tracings (ES/ED)",2020,5 GB,Stanford University Dataset Research Use Agreement,Stanford AIMI,https://stanfordaimi.azurewebsites.net/datasets/echonet-dynamic
,CardiacUDA (GraphEcho Dataset),"Cardiac Structure Segmentation (LV, RV, LA, RA, PA) & Unsupervised Domain Adaptation (UDA)",US,"992 videos (~102,796 frames) from ~100 patients across two clinical sites (Site G: 516 videos, Site R: 476 videos).", First standardized benchmark for UDA in echocardiogram video segmentation; Multi-center data (two hospitals) ;,"720p/1024p resolution, 100+ frames/video, pixel-level LV/RV/LA/RA/PA masks, 8:1:1 train/val/test split, Philips/HITACHI scanners, domain gap (Site G vs R)",2023,4.5 GB,Apache 2.0,Kaggle,https://www.kaggle.com/datasets/xiaoweixumedicalai/cardiacudc-dataset
,CHD68 Segmentation Dataset (MICCAI 2019),Whole Heart and Great Vessel Segmentation in Congenital Heart Disease,CT,68 3D CT images,"First public dataset for whole heart and great vessel segmentation in CHD; Covers 14 types of congenital heart disease; Provides ground truth for 7 structures (LV, RV, LA, RA, myocardium, aorta, pulmonary artery);","Size: 512×512; 64 -slice scanner; Patient age: 1 month to 21 years; 14 CHD types including ASD, VSD, ToF, TGA, etc.",2019,5.4 GB,Apache 2.0,Kaggle,https://www.kaggle.com/datasets/xiaoweixumedicalai/chd68-segmentation-dataset-miccai19
,ImageCHD,Congenital Heart Disease Classification & Segmentation,CT,110 3D CT images,Covers 16 types of congenital heart disease; Includes both segmentation labels and classification labels,"Size: 512×512,  64-slice scanner; Patient age: 1 month to 40 years; 16 CHD types including ASD, VSD, ToF, TGA, DORV, etc.; ",2021,9.8 GB,Apache 2.0,Kaggle,https://www.kaggle.com/datasets/xiaoweixumedicalai/imagechd
,EchoCP,Patent Foramen Ovale (PFO) Diagnosis & Cardiac Chamber Segmentation,US,60 videos from 30 patients (2 videos per patient: rest + Valsalva maneuver),First dataset for contrast TTE-based PFO diagnosis; Includes both rest and Valsalva maneuver states for each patient; Dual annotation (diagnosis + segmentation); Captures dynamic contrast flow patterns,Apical-4-chamber view; ≥10 cardiac cycles per video; Valsalva maneuver performed 3-5 times during acquisition; Sparse labeling of segmentation (representative frames),2021,1.2 GB,Apache 2.0,Kaggle,https://www.kaggle.com/datasets/xiaoweixumedicalai/echocp/data
,EchoNet-LVH,LVH quantification & etiology classification,US,"12,000 echocardiogram videos","Large-scale parasternal long axis (PLAX) echo dataset; Expert sonographer measurements verified by level-3 echocardiographer; Enables both regression (wall thickness) and classification (LVH etiology: HCM, amyloidosis, HTN, AS)","Parasternal long-axis view; Measurements: IVS, LVID, LVPW thickness at systole & diastole; Native resolution videos; Cropped/masked for de-identification",2022,~5 GB,Stanford University Dataset Research Use Agreement,Stanford AIMI,https://echonet.github.io/lvh/index.html
,EchoNet-Pediatric,LV function analysis,US,"7,643  echocardiogram videos","First large-scale pediatric echo video dataset; Wide age/size range (0–18 yrs); Expert annotations (EF, LV tracings, measurements)","Apical-4-chamber view; Labels: EF, ESV, EDV, LV endocardial tracings at ED & ES; Pediatric population incl. oncology, arrhythmia, heart failure, post-surgical, genetic conditions",2024,2.51 GB,Stanford University Dataset Research Use Agreement,Stanford AIMI,https://echonet.github.io/pediatric
,EchoNet-TEE,TEE view classification (8 standardized intraoperative views),US,465 TEE videos (~500 patients),First public dataset of clinically-acquired intraoperative TEE videos; External validation set for TEE view classification; Multi-procedure diversity (open cardiac surgery + transcatheter),"8 TEE view classes (ME 4-Chamber, ME Long Axis, TG LV SAX, ME AV SAX, ME 2-Chamber, ME Bicaval, ME LAA, Aortic); 112×112 px resolution; Includes color flow Doppler videos",2024,~40 GB,Stanford University Dataset Research Use Agreement,Stanford AIMI,https://aimi.stanford.edu/datasets/echonet-tee-view-classifier
,Sunnybrook Cardiac MRI (SCD),"Left ventricle segmentation (endocardium & epicardium); cardiac function quantification (EF, myocardial mass, stroke volume)",MRI,45 cine MRI cases,"First standardized benchmark for LV segmentation with open-source evaluation code; Covers 4 pathology groups (heart failure with/without dyssynchrony, hypertrophy, normal)","Short-axis cine MRI; Expert endocardial & epicardial contours; 4 cardiac categories (normal, heart failure, LV hypertrophy, dyssynchrony); Clinical parameters (EF, MM, SV)",2009,2.7 GB,CC-BY 4.0,MIDAS Journal,https://www.cardiacatlas.org/sunnybrook-cardiac-data/
,3C (Cardiac-CT-Covid19),Cardiac complication detection & classification in COVID-19 patients,CT,134 CT scans,First CT dataset linking COVID-19 and cardiac complications; Wide age range (8-89 yrs); Dual-radiologist interpretation; Includes severity labels for each cardiac condition,2 groups: with cardiac complications (26 patients) vs without (108 patients); Binary classification label (cardiac complication: yes/no); Severity labels per cardiac condition,2024,43.9 GB,CC BY 4.0,Zenodo,https://doi.org/10.5281/zenodo.10801492
,OCMR,Cardiac Cine MRI Reconstruction (accelerated k-space sampling),MRI,53 fully sampled and 212 prospectively undersampled cardiac cine series,First open-access multi-coil k-space dataset for cardiac cine MRI; Includes both fully sampled (ground truth) and prospectively undersampled data; Multi-scanner diversity (1.5T & 3T),"265 HDF5 files (ISMRMRD format); 8 scan attributes (field strength, sampling pattern, echo, duration, view, slice type, FOV, subject); SAX & LAX views; patients + healthy volunteers",2020,123 GB,CC-BY 4.0,AWS S3,https://ocmr.s3.amazonaws.com/data/ocmr_cine.tar.gz
,Cardiac Atlas Project (CAP),Statistical shape modeling & functional atlas of the normal and pathological heart; LV segmentation,MRI,~3000 cardiac MRI studies,Large-scale international multi-study database (MESA + DETERMINE); Combines imaging with clinical data; Open-source tools included; DICOM-compliant web-accessible platform,"Cine MRI (GRE & SSFP); Short-axis (6–12 slices) + 3 long-axis planes; 20–50 frames/cardiac cycle; 1–2mm pixel resolution; LV contours at ED & ES; Clinical metadata (age, gender, BP, heart rate, pathology)",2011,~600 GB,CC BY-NC 2.5,cardiacatlas,https://www.cardiacatlas.org
,HOCMvalvesSeg,Segmentation of Aortic/Mitral Valves and Heart Structures,CT,27 3D CT images,First public dataset focused on valve segmentation for Hypertrophic Obstructive Cardiomyopathy (HOCM) surgical planning; Supports 3D modeling for septal myectomy,"Structures: Aortic Valve (AV), Mitral Valve (MV), Aorta (AO), Left Atrium (LA), Left Ventricle (LV), Myocardium, Excised Myocardium. 256-slice scanner. Size: 512×512, Patient age: 38-76 yrs",2023,6.5 GB,Apache 2.0,Kaggle,https://www.kaggle.com/datasets/xiaoweixumedicalai/hocmvalvesseg
,,,,,,,,,,,
Pulmonary Arteries,,,,,,,,,,,
,RSNA Pulmonary Embolism CT Dataset (RSPECT),"PE detection, classification and quantification",CT,12195 CTPA,Largest publicly available expert-annotated CTPA dataset; Multinational (5 countries); Annotated by 86 subspecialist thoracic radiologists; Rich study-level labels beyond binary PE detection,"Study-level labels: Central/Right/Left PE, Acute/Chronic, RV/LV ratio, flow artifact, QA; Image-level label: PE Present on Image; Section thickness: 2.5–3.0 mm; 5 institutions (US, Canada, Brazil, Australia, Turkey)",2021,980.2 GB,Non-Commercial Research Use Only,Kaggle,https://www.kaggle.com/c/rsna-str-pulmonary-embolism-detection/data
